customerId,name,email,password,orderHistory
C001,John Doe,john.doe@example.com,password123,"Order1,Order2"
C002,Jane Smith,jane.smith@example.com,password456,"Order3,Order4"
C003,Alice Johnson,alice.johnson@example.com,password789,"Order5,Order6"
C004,Bob Brown,bob.brown@example.com,password321,"Order7,Order8"
C005,Charlie Davis,charlie.davis@example.com,password654,"Order9,Order10"
C006,Diana Evans,diana.evans@example.com,password987,"Order11,Order12"
C007,Eve Foster,eve.foster@example.com,password111,"Order13,Order14"
C008,Frank Green,frank.green@example.com,password222,"Order15,Order16"
C009,Grace Harris,grace.harris@example.com,password333,"Order17,Order18"
C010,Hank Ivan,hank.ivan@example.com,password444,"Order19,Order20"
